epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1261.55,0.70185,0.49369,0.93736,0.97194,0.7493,0.86365,0.56978,1.27809,0.68015,1.1766,0.0008912,0.0008912,0.0008912
58,1283.41,0.68819,0.48861,0.93979,0.96133,0.73858,0.85898,0.56017,1.29818,0.69075,1.1889,0.0008714,0.0008714,0.0008714
59,1305.43,0.69506,0.49111,0.9361,0.96075,0.76137,0.86236,0.55447,1.28469,0.69759,1.19025,0.0008516,0.0008516,0.0008516
60,1327.58,0.69313,0.48597,0.93916,0.9495,0.75673,0.86903,0.56807,1.2848,0.68098,1.17411,0.0008318,0.0008318,0.0008318
61,1349.69,0.67984,0.48002,0.92902,0.97103,0.74466,0.85763,0.54966,1.31759,0.68534,1.19723,0.000812,0.000812,0.000812
62,1371.99,0.69014,0.48639,0.9374,0.93045,0.78253,0.87849,0.57202,1.27275,0.67282,1.18361,0.0007922,0.0007922,0.0007922
63,1394.06,0.6793,0.4792,0.93276,0.97378,0.75864,0.86718,0.55647,1.29326,0.66929,1.18717,0.0007724,0.0007724,0.0007724
64,1416.11,0.68093,0.48035,0.93286,0.943,0.76799,0.86501,0.56813,1.26051,0.68368,1.16457,0.0007526,0.0007526,0.0007526
65,1438.25,0.67172,0.47242,0.92983,0.94458,0.75956,0.86663,0.56168,1.29658,0.6733,1.18856,0.0007328,0.0007328,0.0007328
66,1460.35,0.66661,0.47108,0.92993,0.95227,0.75209,0.86956,0.56823,1.29134,0.66355,1.19098,0.000713,0.000713,0.000713
67,1482.33,0.65608,0.46406,0.92157,0.92618,0.77623,0.87183,0.55811,1.29925,0.6711,1.19737,0.0006932,0.0006932,0.0006932
68,1504.55,0.64654,0.45845,0.91914,0.95289,0.74466,0.86234,0.56383,1.28981,0.66289,1.20415,0.0006734,0.0006734,0.0006734
69,1526.46,0.65378,0.46504,0.9231,0.95954,0.75209,0.86357,0.54862,1.30539,0.66921,1.22412,0.0006536,0.0006536,0.0006536
70,1548.38,0.64351,0.45589,0.91451,0.9549,0.76137,0.8704,0.56976,1.29938,0.68133,1.21935,0.0006338,0.0006338,0.0006338
71,1570.42,0.64193,0.45353,0.9199,0.96138,0.75023,0.86214,0.57262,1.30245,0.6809,1.20434,0.000614,0.000614,0.000614
72,1592.39,0.64958,0.46294,0.92306,0.96915,0.75828,0.86502,0.55836,1.31536,0.66202,1.22772,0.0005942,0.0005942,0.0005942
73,1614.36,0.64393,0.45475,0.91359,0.9665,0.74996,0.8682,0.5615,1.30709,0.6677,1.2138,0.0005744,0.0005744,0.0005744
74,1636.48,0.64189,0.45181,0.91734,0.97205,0.75116,0.86717,0.56217,1.30399,0.65667,1.21719,0.0005546,0.0005546,0.0005546
75,1658.33,0.62384,0.44408,0.91051,0.9533,0.75814,0.86507,0.56422,1.31079,0.66926,1.21191,0.0005348,0.0005348,0.0005348
76,1680.57,0.62287,0.44675,0.91683,0.94854,0.76602,0.86754,0.55812,1.32289,0.66321,1.22198,0.000515,0.000515,0.000515
77,1702.93,0.624,0.44384,0.90945,0.95087,0.77278,0.86583,0.56133,1.29451,0.65507,1.20434,0.0004952,0.0004952,0.0004952
78,1725.12,0.6221,0.44182,0.90722,0.95481,0.76519,0.87018,0.57424,1.28211,0.65916,1.19534,0.0004754,0.0004754,0.0004754
79,1747.23,0.59786,0.42967,0.90279,0.94802,0.7688,0.86629,0.5688,1.29283,0.65277,1.20131,0.0004556,0.0004556,0.0004556
80,1769.24,0.61209,0.43586,0.90426,0.9724,0.75673,0.85846,0.5588,1.31233,0.65137,1.21136,0.0004358,0.0004358,0.0004358
81,1791.14,0.61871,0.43702,0.91132,0.9464,0.76509,0.87723,0.57465,1.28711,0.65905,1.18975,0.000416,0.000416,0.000416
82,1813.12,0.61922,0.43535,0.90631,0.96333,0.75766,0.87062,0.57396,1.26527,0.66647,1.1691,0.0003962,0.0003962,0.0003962
83,1835.53,0.60244,0.43603,0.90959,0.96543,0.75187,0.85789,0.56077,1.28075,0.67302,1.18366,0.0003764,0.0003764,0.0003764
84,1857.85,0.60207,0.42916,0.9063,0.9514,0.76695,0.86208,0.5546,1.29842,0.66556,1.19404,0.0003566,0.0003566,0.0003566
85,1879.88,0.59263,0.42364,0.90118,0.95313,0.76137,0.85722,0.55868,1.28625,0.65221,1.182,0.0003368,0.0003368,0.0003368
86,1901.88,0.58744,0.42465,0.90532,0.96396,0.74506,0.86068,0.56062,1.28036,0.66044,1.18955,0.000317,0.000317,0.000317
87,1923.8,0.58239,0.42032,0.89522,0.96224,0.75715,0.85722,0.55965,1.28631,0.65429,1.18833,0.0002972,0.0002972,0.0002972
88,1945.83,0.58231,0.42017,0.89729,0.96811,0.75766,0.85373,0.56003,1.29217,0.6461,1.19328,0.0002774,0.0002774,0.0002774
89,1968.15,0.58356,0.41998,0.89841,0.97311,0.75116,0.85952,0.55793,1.2903,0.65495,1.182,0.0002576,0.0002576,0.0002576
90,1990.6,0.57771,0.41341,0.89776,0.95116,0.76045,0.85931,0.55622,1.29495,0.66369,1.19138,0.0002378,0.0002378,0.0002378
