epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7349,1.38597,1.8437,1.22901,0.87918,0.71617,0.83862,0.48014,1.41313,1.09942,1.203,0.000665079,0.000665079,0.000665079
2,40.951,1.29017,1.24338,1.20729,0.90715,0.75487,0.83733,0.51431,1.28861,1.02645,1.18136,0.00131856,0.00131856,0.00131856
3,61.3679,1.26155,1.13298,1.19299,0.86832,0.71024,0.77778,0.46012,1.48842,1.10057,1.27396,0.00195884,0.00195884,0.00195884
4,82.1243,1.21038,1.037,1.16411,0.87443,0.74652,0.84016,0.52435,1.32626,0.98236,1.13906,0.0019406,0.0019406,0.0019406
5,103.024,1.19946,0.99108,1.16269,0.9128,0.72981,0.85714,0.51394,1.37051,0.90867,1.19,0.0019208,0.0019208,0.0019208
6,124.044,1.13232,0.93794,1.13288,0.92438,0.74373,0.83645,0.52061,1.32491,0.92264,1.15253,0.001901,0.001901,0.001901
7,145.119,1.12102,0.91278,1.11868,0.91822,0.74188,0.83909,0.51782,1.32613,0.90045,1.15351,0.0018812,0.0018812,0.0018812
8,166.331,1.09632,0.88357,1.10926,0.91817,0.7493,0.83982,0.53215,1.29043,0.86334,1.17717,0.0018614,0.0018614,0.0018614
9,187.879,1.02751,0.82911,1.08306,0.91703,0.74914,0.84995,0.52583,1.28644,0.87107,1.16214,0.0018416,0.0018416,0.0018416
10,210.488,1.03118,0.80557,1.07838,0.9395,0.76323,0.85148,0.52968,1.35176,0.84273,1.17789,0.0018218,0.0018218,0.0018218
11,233.601,1.02444,0.78694,1.0792,0.93083,0.76224,0.86648,0.54724,1.31056,0.82027,1.18227,0.001802,0.001802,0.001802
12,256.44,1.01441,0.77128,1.08078,0.92698,0.75023,0.85892,0.53601,1.32293,0.83353,1.18063,0.0017822,0.0017822,0.0017822
13,278.667,0.9902,0.74266,1.0594,0.94445,0.75781,0.87105,0.54784,1.30308,0.78846,1.17123,0.0017624,0.0017624,0.0017624
14,300.845,0.95969,0.728,1.05322,0.93092,0.76695,0.84335,0.51141,1.33633,0.79966,1.15972,0.0017426,0.0017426,0.0017426
15,323.205,0.95746,0.70513,1.04449,0.93569,0.76973,0.86607,0.53051,1.38087,0.78535,1.20626,0.0017228,0.0017228,0.0017228
16,345.502,0.95625,0.69601,1.0474,0.94505,0.77066,0.86683,0.55836,1.28963,0.77337,1.18267,0.001703,0.001703,0.001703
17,368.064,0.93348,0.67992,1.04168,0.95016,0.76509,0.86326,0.54254,1.30986,0.77497,1.14599,0.0016832,0.0016832,0.0016832
18,390.678,0.93408,0.6731,1.03331,0.93543,0.78021,0.84497,0.5354,1.30516,0.75864,1.16881,0.0016634,0.0016634,0.0016634
19,413.008,0.92084,0.66716,1.03064,0.92992,0.78923,0.87579,0.54976,1.32032,0.76324,1.1943,0.0016436,0.0016436,0.0016436
20,435.64,0.91249,0.66174,1.02686,0.95379,0.76661,0.88255,0.56451,1.26697,0.74326,1.16214,0.0016238,0.0016238,0.0016238
21,458.085,0.89232,0.64836,1.01342,0.95641,0.75373,0.85707,0.51888,1.31344,0.7659,1.17148,0.001604,0.001604,0.001604
22,480.611,0.87807,0.66372,1.01687,0.94059,0.76973,0.87091,0.54073,1.30882,0.75919,1.22552,0.0015842,0.0015842,0.0015842
23,503.995,0.88777,0.65277,1.0174,0.92181,0.7688,0.85472,0.54006,1.34193,0.75873,1.23064,0.0015644,0.0015644,0.0015644
24,527.713,0.88095,0.63857,1.01566,0.97157,0.76695,0.87473,0.54689,1.30245,0.72696,1.1952,0.0015446,0.0015446,0.0015446
25,551.679,0.86333,0.62447,1.00711,0.95113,0.76787,0.85249,0.54229,1.26576,0.72834,1.17819,0.0015248,0.0015248,0.0015248
26,575.983,0.87092,0.62241,1.00732,0.94747,0.77437,0.87026,0.55474,1.27267,0.71079,1.18695,0.001505,0.001505,0.001505
27,600.201,0.86263,0.61487,1.0067,0.9397,0.76685,0.87783,0.5578,1.27741,0.71987,1.17682,0.0014852,0.0014852,0.0014852
28,624.408,0.84805,0.61042,1.00329,0.93705,0.77403,0.86993,0.53184,1.31163,0.727,1.20104,0.0014654,0.0014654,0.0014654
29,648.227,0.86609,0.60019,1.0001,0.96288,0.77072,0.86889,0.558,1.27148,0.68795,1.20126,0.0014456,0.0014456,0.0014456
30,670.535,0.84549,0.59369,0.98595,0.96825,0.76445,0.86497,0.54832,1.28969,0.72083,1.18408,0.0014258,0.0014258,0.0014258
31,692.498,0.82982,0.59773,1.00151,0.96568,0.75772,0.85951,0.54158,1.32575,0.70561,1.20376,0.001406,0.001406,0.001406
32,714.43,0.83685,0.58715,0.99473,0.96996,0.76509,0.87207,0.54833,1.28237,0.70153,1.19758,0.0013862,0.0013862,0.0013862
33,736.333,0.8076,0.57572,0.98877,0.96685,0.74095,0.8525,0.53825,1.3011,0.74478,1.19113,0.0013664,0.0013664,0.0013664
34,758.013,0.81622,0.57345,0.98989,0.94827,0.76137,0.87593,0.5416,1.2881,0.72818,1.20694,0.0013466,0.0013466,0.0013466
35,779.666,0.81079,0.57653,0.99064,0.93873,0.76137,0.85483,0.54916,1.2653,0.71162,1.17935,0.0013268,0.0013268,0.0013268
36,801.298,0.81334,0.57402,0.98737,0.94871,0.7901,0.882,0.56308,1.2982,0.67863,1.23595,0.001307,0.001307,0.001307
37,823.016,0.79951,0.56455,0.98392,0.96796,0.75952,0.86194,0.55156,1.31108,0.69284,1.20721,0.0012872,0.0012872,0.0012872
38,845.003,0.78167,0.55757,0.97187,0.94423,0.77809,0.86282,0.55337,1.27181,0.69759,1.19602,0.0012674,0.0012674,0.0012674
39,866.734,0.79035,0.55941,0.97743,0.96413,0.74866,0.84382,0.52429,1.3589,0.71487,1.24231,0.0012476,0.0012476,0.0012476
40,888.617,0.79822,0.55165,0.97909,0.943,0.78737,0.87078,0.56061,1.26615,0.69967,1.18795,0.0012278,0.0012278,0.0012278
41,910.412,0.79516,0.54856,0.98008,0.93408,0.77344,0.85825,0.53962,1.31105,0.7054,1.20603,0.001208,0.001208,0.001208
42,932.21,0.76626,0.53781,0.96097,0.95251,0.76361,0.8661,0.5636,1.26988,0.69485,1.19337,0.0011882,0.0011882,0.0011882
43,954.045,0.7495,0.53022,0.96132,0.95441,0.7753,0.868,0.54402,1.27706,0.68964,1.18837,0.0011684,0.0011684,0.0011684
44,975.845,0.74629,0.53171,0.95558,0.94847,0.76907,0.86532,0.55564,1.33459,0.71614,1.20219,0.0011486,0.0011486,0.0011486
45,997.615,0.75617,0.53269,0.96033,0.96536,0.76137,0.86917,0.56523,1.28975,0.69921,1.18739,0.0011288,0.0011288,0.0011288
46,1019.45,0.73776,0.52183,0.95917,0.96057,0.76695,0.8704,0.55815,1.29617,0.69498,1.20576,0.001109,0.001109,0.001109
47,1041.2,0.74298,0.52977,0.9534,0.96208,0.77731,0.87425,0.56093,1.28901,0.68748,1.18349,0.0010892,0.0010892,0.0010892
48,1062.88,0.74441,0.52956,0.95974,0.95042,0.76602,0.85994,0.5417,1.26673,0.68832,1.19829,0.0010694,0.0010694,0.0010694
49,1084.57,0.74345,0.52918,0.96022,0.94585,0.77159,0.85434,0.56896,1.25132,0.67863,1.18481,0.0010496,0.0010496,0.0010496
50,1106.47,0.72944,0.52116,0.95256,0.96717,0.73862,0.84425,0.54753,1.33317,0.73316,1.20784,0.0010298,0.0010298,0.0010298
51,1128.14,0.73141,0.51196,0.94381,0.94735,0.76787,0.87379,0.55851,1.30577,0.70191,1.21087,0.00101,0.00101,0.00101
52,1150.19,0.71346,0.50057,0.93964,0.96619,0.77623,0.86285,0.54921,1.27926,0.6797,1.21619,0.0009902,0.0009902,0.0009902
53,1172.5,0.73214,0.5111,0.94749,0.95201,0.77366,0.88063,0.57419,1.30513,0.6749,1.22652,0.0009704,0.0009704,0.0009704
54,1195.08,0.72546,0.51219,0.95532,0.96694,0.77066,0.86374,0.5502,1.28983,0.68872,1.20438,0.0009506,0.0009506,0.0009506
55,1217.35,0.70176,0.49751,0.94029,0.96241,0.76078,0.86204,0.57173,1.25539,0.70027,1.15633,0.0009308,0.0009308,0.0009308
56,1239.5,0.69824,0.49538,0.94075,0.93934,0.77716,0.85899,0.56368,1.28421,0.66321,1.19166,0.000911,0.000911,0.000911
