epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.4469,1.24843,1.45699,1.13794,0.93174,0.58234,0.70313,0.47459,1.27753,1.10337,1.18642,0.000665741,0.000665741,0.000665741
2,120.869,1.13313,0.97967,1.08538,0.88997,0.60712,0.71466,0.4621,1.34021,1.09681,1.21607,0.00131356,0.00131356,0.00131356
3,185.686,1.17997,0.95843,1.09616,0.93825,0.5726,0.70684,0.47513,1.28627,1.03251,1.18896,0.00194253,0.00194253,0.00194253
